id,document,label
146,2020년 건설공사 발주계획 자료 제출 협조 요청 (유관기관),5
147,지급자재 공기업 실무협의체 현안사항 결과 알림,5
148,「분양대행자 교육에 관한 규정」 제정안 의견조회,11
149,민원 빅데이터 동향「국민의 소리」제545호 알림,4
150,「공공부문 비정규직 채용 사전심사제 운영방안 추가지침」 배포,4
151,정부24 공공서비스 현행화 및 전달교육 실시결과 제출 요청,3
152,2019년도 예산회계 자율통제 운영실태 및 운영실적 파악 협조요청,1
153,공공조달 통계자료('19년 11월) 제출 요청,5
154,2019년 제2회 목포시 지방임기제공무원 임용시험 홍보 협조,4
155,웹배너 게재 협조 요청,12
156,`20년 상반기(1~2월) 대학생 직무인턴 운영기관 협조요청,4
157,2020년도 공기업·출연기관장 경영성과 목표 제출,1
158,공공 윈도우7 기술지원 종료 대응현황 및 향후계획 제출요청,1
159,2019년 도시재생뉴딜 사업화지원 사업 신청 등 협조 요청,13
160,2020년 청렴컨설팅 멘토 희망기관 신청 안내,12
161,전남여성가족재단 시설이용 협조요청,4
162,2019년도 12월 교육과정 교육대상자 확정 및 추가 신청 안내,4
163,인공강우 실험을 위한 부지 사용 협조 요청(새만금간척지),7
164,관광투자유치 월간동향 송부(2019.11~12월),2
165,2020년 지방출자·출연기관 경영실적평가 표준모델(안) 알림,1
166,2020년도 주택지원(공공임대)사업 사전 참여의사파악 협조 요청,10
167,과세정보 제공 요청(분양가액 확인),9
168,2019년도 지방공기업 발전 유공자 도지자 표창 계획 알림,4
169,「공직유관단체 임직원 휴직의 목적 외 사용방지 방안」 권고 및 제도개선 협조 요청(지방공기업),12
170,「공직유관단체 임직원 휴직의 목적 외 사용방지 방안」 권고 및 제도개선 협조 요청(지방공기업),4
171,LH전북협치포럼 발대식 참석요청,13
172,LH전북협치포럼 발대식 참석요청,2
173,2019년 전라북도 제조업체 실태조사 책자 배부,2
174,2020년 제1차 토지수용 보상액 산정을 위한 감정평가 의뢰,9
175,「목포 3·1운동 100주년 기념 특별전시관 조성」에 따른 제안서 평가위원(후보자) 공개 모집 안내,4
176,2020년도 공공기관 녹색제품 구매교육 상반기 수요조사 안내,5
177,"항소심 응소지휘 및 소송수행자지정서 송부, 소송대리인 선임 승인(전주지검 2019민나16호)",9
178,지방공공기관 등 채용실태 정기 전수조사 계획 송부 및 사전 점검자료 요청,12
179,지방공공기관 등 채용실태 정기 전수조사 계획 송부 및 사전 점검자료 요청,4
180,2019년 지방자치단체·공공기관 개인정보보호 자체교육 실적 제출 요청,3
181,인계면 농촌중심지활성화사업 소규모재해영향평가 심의 결과 알림,7
182,'20년도 기존주택 매입·전세임대 공급 희망수요 조사,11
183,2018년도 재무제표 자료 요청,5
184,공기업·출연기관 ‘20년 상반기 직원 채용계획 제출요청,4
185,2019 재결실무워크숍 개최 알림 및 참석자 명단 제출,9
186,홍보콘텐츠 담당자 현황 제출 협조 요청,12
187,건설사업관리 관련 발주청의 불공정 행위 예방 철저 요청,10
188,정규직 전환 추진상황 점검 및 추진실적 시스템 입력 철저(1단계),4
189,일상감사 의견 통보(익산 부송4지구 도시개발사업 타당성 검토 용역),2
190,용지보상채권 발행분 해지여부 등 조회 요청,9
191,수의시담 결과 및 기술협상 실시 안내(00196078702),5
192,구매계약 및 중소기업제품 공공구매제도 교육 안내 및 참석 요청,5
193,통영시 중앙지구 새뜰마을 조성사업 마스터플랜 수립 및 실시설계용역 제안서 평가위원 공개모집 재 안내,13
194,통영시 중앙지구 새뜰마을 조성사업 마스터플랜 수립 및 실시설계용역 제안서 평가위원 공개모집 재 안내,10
195,통영시 중앙지구 새뜰마을 조성사업 마스터플랜 수립 및 실시설계용역 제안서 평가위원 공개모집 재 안내,7
196,체육시설 수영장 체온조절실 운영현황 자료수집 협조요청,4
197,'20 지적재조사사업 실시계획 수립 및 주민설명회개최 안내,9
198,2020년 기존 공공시설물 내진보강대책 제출 요청,4
199,「진안에코르 10년 공공임대」 기관추천 특별공급대상자 통보,11
200,전북개발공사 인사규정 일부개정(안) 승인 통보,1
201,수의시담 결과 및 기술협상 실시 안내(00196078702),5
202,제27차 지방개발공사협의회 개최결과 공유,1
203,청렴교육강사제도 개선을 위한 설문조사 참여 협조요청,12
204,청렴교육강사제도 개선을 위한 설문조사 참여 협조요청,12
205,지방공공기관 채용대행 설문조사 협조 요청,4
206,지방공공기관 직원채용대행 설문조사 참여 요청,4
207,2020학년도 전기 이화여자대학교 정책과학대학원 신입생 수시 모집 홍보 요청에 관한 일,4
208,2020년 공공구매 목표비율제도 권역별 설명회 개최 계획 안내 및 참석 협조 요청,5
209,2019년 공공기관 청렴도 측정 결과 통보 안내 및 홈페이지 공개 요청,12
210,「지방공기업법 시행령」일부개정령안에 대한 의견조회,1
211,통영시 중앙지구 새뜰마을 조성사업 마스터플랜 수립 및 실시설계용역 제안서 평가위원 공개모집 재 안내,10
212,통영시 중앙지구 새뜰마을 조성사업 마스터플랜 수립 및 실시설계용역 제안서 평가위원 공개모집 재 안내,7
213,사전 컨설팅감사 활성화를 위한 제도 홍보 및 확대 기관 의견수렴,12
214,「민간위탁 노동자 근로조건 보호 가이드라인」 배포 안내,4
215,「민간위탁 노동자 근로조건 보호 가이드라인」 배포 안내,4
216,진안에코르 공공임대주택 기관추천 특별공급 대상자 추천(7명),11
217,군산 금광지구 가옥철거 폐기물 반출 협조 요청 회신,7
218,무허가건물 확인요청에 대한 회신,11
219,민원 빅데이터 동향「국민의 소리」제544호(11월동향) 알림,4
220,국가온실가스 종합관리시스템(NGMS) 공공부문 교육 알림,6
221,저소득계층 임대보증금 반환 청구(송영*),11
222,수정계약 관련 업무 협의,5
223,"2019년(1~11월) 중증장애인생산품 구매실적, 생산시설 지정현황 등 송부 및 활용 협조요청(지방공기업)",5
224,「공공재정환수법」 권역별 설명회 개최 알림,12
225,2019 공기업출연기관 인권경영 추진상황 책자 배부,12
226,공공부문 온실가스 목표관리 맞춤형 교육 및 운영성과 보고대회 상시학습 인정 요청,4
227,중소기업자간 경쟁제품 운영(시설물경계서비스) 관련 협조 요청,5
228,2019년 반부패 주간 기념행사 안내,12
229,2019년 하반기 공공소프트웨어사업 재정집행실적조사 협조요청,3
230,무허가건물 확인에 대한 회신(정정* 외 1),11
231,새만금 재생에너지 지역주도형사업 관계기관 회의 날짜 변경 알림,8
232,2019년도 11월 사이버교육과정 수료자 명단 통보,4
233,2019 각급기관 홍보담당관 청탁금지법 워크숍 변경사항 알림,12
234,2020년 구매목표비율제도 권역별 설명회 개최계획 안내 및 참석 협조요청,5
235,전주시민기록관 개관식 개최 및 전시 참석 요청,4
236,지방공기업과 사회적 가치 확산을 위한 세미나 개최 안내,12
237,무주(설천) 농어촌임대주택 건설공사 토사 협조요청 관련 변경사항 통보,10
238,2019년 도시재생 뉴딜사업 관련 현황조사 협조 요청,13
239,도시재생 뉴딜사업 부지확보 관련 안내,13
240,토지수용재결신청에 따른 사업시행자 제시액 조서 작성[전북혁신도시 원천 정비공사(3차)],9
241,새만금 재생에너지 지역주도형사업 관계기관 회의 참석요청,8
242,’19년 도시계획분야 유공 포상계획 알림 및 대상자 추천 요청,4
243,「공공기록물 관리에 관한 법률」일부개정법률(제16661호) 공포 알림,4
244,복지사각지대 발굴을 위한 공공임대주택 임차료 체납 자료('19.11월말 기준) 제공 요청,11
245,지방공공기관 공정계약 지침 수정 통보,12
246,지방공공기관 공정계약 지침 수정 통보,5
247,지방공공기관 공정계약 지침 수정 통보,1
248,공기업·출연기관 장애인 의무고용률 준수계획(안) 제출 요청,4
249,2019년도 제11기 전북인재개발원 사이버교육 수료자 내역 송부(공기업·출연기관),4
250,2020학년도 한남대학교 공기업관리자과정 수강생 모집,4
251,2019년도 11월 중 경영전문교육과정 수료자 명단 통보,4
252,「NPS 교양강좌」참여 안내,4
253,대전지방국토관리청 기술자문위원회 후보자 수요조사에 따른 추천 요청,7
254,지방공기업 미래준비지수 개발을 위한 설문조사 협조요청,1
255,2019년「지방공기업 여성리더스 포럼」수료자 명단 통보,4
256,사례로 살펴보는 공공부문 노무관리의 이해(제15기) 추가모집안내,4
257,공공기관 사회적 가치 창출대회 안내,12
258,「직장 내 장애인 인식개선 교육」무료 강사지원사업 안내,4
259,국립묘지 신년참배 안내,12
260,진안에코르 10년공공임대 특별공급 대상자 추천,11
261,2019년 12월 조달전문 이러닝 과정 운영 안내,4
262,2019년 사회적경제기업 제품 공공구매 실적(11월말) 제출,5
263,부송4지구 도시개발사업 협약 체결을 위한 일정 알림,2
264,2020년 청렴연수원 교육수요 및 2019년 청렴교육 기본강사 활용실적 제출 요청,12
265,「성원그린나래 새뜰마을사업 마스터플랜 및 실시설계 수립용역」제안서 평가위원(후보자) 공개모집 재공고,10
266,「성원그린나래 새뜰마을사업 마스터플랜 및 실시설계 수립용역」제안서 평가위원(후보자) 공개모집 재공고,7
267,한국수목원관리원(국립백두대간수목원) 홍보 및 이용협조 요청,4
268,2019년도 겨울철 에너지수요관리 대책 송부 (공공부문),6
269,2020년도 겨울철 사랑의 헌혈 참여 협조요청,12
270,2019년 11월 유형별 민원분류기준표 정비결과 알림,4
271,2020년 행정·공공기관 클라우드컴퓨팅 사업 수요정보 조사 제출 독려,3
272,국토정보 발전을 위한 「2019년도 유관기관 세미나」개최 알림,10
273,국토정보 발전을 위한 「2019년도 유관기관 세미나」개최 알림,9
274,국토정보 발전을 위한 「2019년도 유관기관 세미나」개최 알림,7
275,보훈특별고용 대상자 추천서 수정 송부(전북개발공사),4
276,‘19년 수소충전소(추경확보) 보급사업 담당자 회의 안내,8
277,재공고 후 수의시담 알림-00196078702,5
278,2019년「지방공기업 혁신성과 보고대회 및 CEO 포럼」수료자 명단 통보,4
279,재난분야 위기관리 매뉴얼 업무 이관 알림,4
280,2019년 12월중 국가민방위재난안전교육원 사이버교육과정 안내,4
281,정보화사업 제안서 평가위원 추천 요청,3
282,2019년도 하반기「정부24 공공서비스 등록관리 향상교육」참석자 상시학습 등록 요청,4
283,동절기 건설공사 안전사고 예방 종합대책 수립 및 이행 협조 요청,10
284,동절기 건설공사 안전사고 예방 종합대책 수립 및 이행 협조 요청,7
285,2019년도 반부패 수범 유공 포상 추천 의뢰,12
286,보훈특별고용 대상자 추천서 송부(전북개발공사),4
287,전주 만성 A-2BL 공공임대아파트 건설공사 실시설계 적격 심의결과 알림,10
288,2019년 하반기 건설ㆍ교통신기술 워크숍 참석자 명단 통보,7
289,전주 만성지구 A-2BL 실시설계 적격심의 위원회 수당 지급 알림,10
290,「행정·공공기관 민간 클라우드 이용 가이드라인」개정 안내,3
291,2019년 지방공기업 투자계획 집행현황 제출 요청(11월말 기준),1
292,민원 빅데이터 동향「국민의 소리」제543호 알림,4
293,경기도시공사 인권경영헌장 공유,12
294,공공기관 에너지진단 대상 건축물 제출 협조 요청,6
295,지방출자출연기관 경영실적평가 제안모델(안) 통보 및 관련 담당자 회의 참석 협조,1
296,"도시재생법 및 시행령 개정안, 활성화계획 경미한 사항 변경 절차 안내",13
297,공공기관 기관메타시스템 설치 및 메타등록 안내,3
298,공익사업 미지급용지 조회에 대한 회신,9
299,녹색장터 확대운영 1주년 기념 프로모션 변경안내 및 홍보 협조요청,5
300,경영평가 개선을 위한 출연기관 등 의견 제출,1
301,2019년 12월 감사교육원 사이버교육안내,4
302,「전라북도 안전분야 반부패협의회 실무단 회의」참석 협조,12
303,통영시 중앙지구 새뜰마을 조성사업 마스터플랜 수립 및 실시설계용역 제안서 평가위원 공개모집 안내,13
304,통영시 중앙지구 새뜰마을 조성사업 마스터플랜 수립 및 실시설계용역 제안서 평가위원 공개모집 안내,10
305,통영시 중앙지구 새뜰마을 조성사업 마스터플랜 수립 및 실시설계용역 제안서 평가위원 공개모집 안내,7
306,2019년 제1회 「전라북도 규제개혁 민관협의회」회의 개최일정 변경안내,7
307,우수발명품(특허등록 제1585567호) 우선구매 추가 추천의뢰[2],5
308,우수발명품(특허등록 제1484030호) 우선구매 추천의뢰[30],5
309,2019년도 지역발전사업 유공자 포상 계획 알림,4
310,2019년도 12월 교육과정 교육대상자 확정 및 추가 신청 안내,4
311,2019년도 제2차 총회 서면 부의,6
312,국가기록원-한국철도시설공단 공동 세미나 참석 요청,4
313,2019년 공공 웹사이트 정기 현황(총량)조사 협조요청,3
314,제2차 경관정책기본계획(안) 의견조회,10
315,사업 추진 현황 PPT 등 제작용역 제안서 평가위원 추천 요청 및 등록안내,4
316,연말 건설공사의 무리한 작업방지 및 동절기 안전관리 철저 요청,4
317,연말 건설공사의 무리한 작업방지 및 동절기 안전관리 철저 요청,4
318,진행중인 용역사업 및 참여기술자 현황자료 협조 요청,7
319,동절기 건설현장 굴착공사 안전관리 강화 요청,4
320,전북혁신 농지보전부담금 지급 안내,9
321,제16차 지방개발공사 재정실무협의회 개최 알림,5
322,보훈특별고용 대상자 추천서 송부(전북개발공사),4
323,제2차 경관정책기본계획(안) 공청회 개최 알림,10
324,선금지급 요청 및 안내-35197200251,5
325,"2019년 지방공기업 청년 신규채용, 여성관리자 실적 현황 조사",4
326,2019 각급기관 홍보담당관 청탁금지법 워크숍 개최 알림,12
327,2020학년도 봄학기 세종사이버대학교 신·편입생 모집 안내(공단/공사),4
328,2019년 제27차 지방개발공사협의회 개최 알림,1
329,현재 수행중인 용역현황 회신,7
330,『제3회 안심(安沁&安心)맞춤데이』행사 신청 안내,4
331,새만금 수상태양광 사업구역 및 비용분담 방안 확정 알림,8
332,새만금 공간정보시스템 구축 용역 완료보고회 일정 변경 안내,7
333,"주택건설사업계획 변경승인 처리(전북개발공사,경미한변경)",10
334,연말연시 및 설명절 보훈가족 위로 격려 협조 요청,12
335,2019년도 제10기 전북인재개발원 사이버교육 수료자 내역 송부(공기업·출연기관),4
336,2019년도 제10기 전북인재개발원 사이버교육 수료자 내역 송부(공기업·출연기관),4
337,전라북도 정보보안 협의회 2020년 계획 발표 및 정보보안 관리실태 총평,3
338,서류 공용발급 요청 회신,9
339,서류 공용발급 요청 회신,9
340,전주대학교 미래융합대학 신입생 모집 안내,4
341,공공부문 부서장(팀장) 갈등관리 및 의사소통 역량강화 과정(제2019-6기) 추가모집안내,4
342,공공기관 인권경영 매뉴얼 이행상황 자료제출 협조,12
343,공공기관-대학생 잡 멘토링 수료식 참석 요청,12
344,제안서 평가위원(후보자) 모집 및 등록안내(익산시 도시재생활성화계획 수립 용역),13
345,정부조달문화상품  판로지원을 위한 협조 요청,5
346,2020년 상반기 대학생 공기관 직무인턴 서류심사위원회 참석요청,4
347,항소장 송부 및 항소심 소송수행자 추천 의뢰(전주지검 2019민나16호),9
348,철근 계약금액 조정(인하) 알림,5
349,2019. 제1기 「전라북도 규제개혁 민관협의회」회의참석 요청,7
350,서울시주거복지센터 성과보고회 참석 요청,11
351,선금지급 가능여부 재조회,5
352,전라북도 본청 및 산하기관 장애인 의무고용률 준수 이행 철저 및 채용계획 등 제출 요청,4
353,환경영향평가용역 사업수행능력평가를 위한 업무여유도 회신,7
354,2019년도 12월 안전감찰 업무능력향상과정 입교대상자 추천 및 교육안내,4
355,2019년 혁신지구 국가시범지구 신청 가이드라인 최종본 송부,13
356,2019년 혁신지구 국가시범지구 신청 가이드라인 최종본 송부,2
357,부송4지구 관련 공동주택 건설 지구 내·외 명기 제출 요청,2
358,&#65378;도시재생 활성화 및 지원에 관한 특별법&#65379; 개정에 따른 신규사업 수요조사,13
359,&#65378;도시재생 활성화 및 지원에 관한 특별법&#65379; 개정에 따른 신규사업 수요조사,2
360,민원 빅데이터 동향「국민의 소리」제542호 알림,4
361,의원발의「지방공기업법 일부개정법률안」에 대한 의견조회,1
362,프라임칼리지 선취업후진학 학사학위과정 신편입생 모집 홍보 협조(요청),4
363,2019년 개인정보보호 유공 장관표창 후보자 추천 요청,3
364,2019년「지방공공기관 교육담당자 워크숍」개최 안내,4
365,공기업 · 출연기관 등 직무컨설팅 및 맞춤형교육 참석,1
366,2019년도 녹색제품 구매실적 수정요청 접수 알림 및 녹색제품 구매 협조 요청(11월),5
367,선금지급 가능여부 조회,5
368,2020년 지방공기업 예산회계 및 신속집행시스템 유지관리 사업 위·수탁 협약체결 재요청,3
369,공공구매제도 안내 및 기술개발제품 홍보를 위한 방문 안내,5
370,환경영향평가용역 사업수행능력 평가를 위한 업무여유도 등 조회,7
371,새만금 공간정보시스템 구축 용역 완료보고회 참석 협조 요청,7
372,전라북도 공공디자인 심의(자문) 운영방안 알림 및 대상사업 현황 제출,10
373,전라북도 공공디자인 심의(자문) 운영방안 알림 및 대상사업 현황 제출,7
374,전라북도 공공디자인 심의(자문) 운영방안 알림 및 대상사업 현황 제출,6
375,전라북도 공공디자인 심의(자문) 운영방안 알림 및 대상사업 현황 제출,2
376,2019년 반부패 주간 운영 안내,12
377,지방공기업 재정 신속집행 목표달성 협조요청 및 제고 대책 제출,1
378,무허가 건물 해당 여부 확인 협조 요청에 따른 회신(전영*),11
379,「2019년 블라인드채용 우수사례 경진대회」개최 안내,4
380,"인공지능·빅데이터, 4차 산업혁명 등 기술·공학 분야 온라인 과목 수강안내",4
381,2019년도 12월 교육과정 교육대상자 확정 및 추가 신청 안내,4
382,2019년 12월 KMA 포럼 참가자 모집 안내,4
383,지방공사·공단 현황(책자) 갱신 요청,1
384,차세대 국민신문고 교육대상자 통보,4
385,2019년 지방공공기관 채용비리 전수조사 사전자료 제출 요청,4
386,[지방공기업] 제28호 게재 참여 및 협조 요청,1
387,2020년 정책연구수행을 위한 과제제안 수요조사,1
388,2019년 12월 한국기상산업기술원 국가인적자원개발컨소시엄 교육과정 안내,4
